##name	Shakespeare Words
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/04/26, 23:14
##author	Andy Boyle
##email	andyboyle@videotron.ca
##description	Shakespeare into modern english
##browsingEnabled	
##bgl_creationTime	2003/01/19, 16:41
8EAF66FD.bmp	File: 8EAF66FD.bmp
COOLING CARD	used metaphorically for an insurmountable obstacle
COPATAIN HAT	a high-crowned hat.
COPE	to reward, to give in return.
COPESMATE	companion.
COPY	theme
copyhold	a type of lease
CORAGIO	courage
CORAM	an ignorant mistake for Quorum
CORANTO	lively dance
CORINTH	a cant term for a brothel
CORINTHIAN	a wencher
CORKY	dry like cork
CORNUTO	a cuckold
COROLLARY	a surplus
coronets	small crown, or perhaps a laurel wreath. [Julius Caesar]
CORPORAL	bodily. "Corporals of the field" were army officers who acted as assistants to the sergeant-major.
Corrigible	corrective
CORRIVAL	rival
corse	body. [Hamlet]; corpse. [Romeo and Juliet]
COSTARD	the head.
COSTER	MONGER peddling, mercenary
COSTER-MONGER	peddling, mercenary.
COT	QUEAN an effeminate man, molly-coddle
Cot-quean	a man who occupies himself with women’s business
COTE	to quote, instance
COUCHINGS	crouchings.
COUNT CONFECT	a nobleman composed of affectation
countenance	look at
counter-caster	cashier
COUNTERFEIT	portrait; A piece of base coin
COUNTERPOINT	a counterpane
COUNTERVAIL	to counterpoise, outweigh
COUNTRY	belonging to one's country
COUNTY	count.
COUPLEMENT	union
Courageous	happy, fortunate
course	a bout in bearbaiting, where a bear is tied to a stake and attacked by dogs
Courses	the strings of many instruments such as a lute were strung in pairs and these pairs were called courses.
COURT HOLY	WATER, flattery
COURT HOLY-WATER	flattery.
court of guard	headquarters. [Othello]
coused	chased
COVENT	a convent.
COVER	to lay the table for dinner
COWISH	cowardly
COWL	STAFF: the staff on which a vessel is supported between two men COX MY PASSION: an oath, a euphemism for 'God's Passion'
COWL-STAFF	the pole on which a basket is supported between two people.
coxcomb	a fool's cap, often with a cock's comb attached to the top. [King Lear]
Coy	fondle
COY (1)|COY	to stroke or caress.
COY (2)|COY	to disdain.
COYSTRIL	a kestrel, a cowardly kind of hawk
coystrill	knave or base fellow. [Twelfth Night]
coz	cousin
cozen	cheat. [The Merchant of Venice]
COZENAGE	cheating
COZENER	a cheater
COZIER	a tailor
CRACK	a loud noise, clap A forward boy
CRACK-HEMP	a gallows-bird.
crack of doom	the thunder at the day of doom
CRACKER	boaster
CRANK	a winding passage
CRANKING	winding
CRANTS	garlands. A doubtful word
CRARE	a ship of burden.
CRAVEN	a dunghill cock.
CREATE	formed, compounded
CREDENT	creditable; Credible; Credulous
Credit	report, credibility, reputation
CRESCIVE	increasing
CRESTLESS	not entitled to bear arms, lowborn
crickets cry	thought of as an omen of death. [Macbeth]
CRISP	curled, winding.
crisped	curly. [The Merchant of Venice]
Critical	censorious
crochets	whims. [Romeo and Juliet]
CROSS	a piece of money, so called because the coin was formerly stamped with a cross
CROSS (1)|CROSS	a piece of money, coin.
CROSS (2)|CROSS	passing from side to side.
CROSS (3)|CROSS	across.
CROSS (4)|CROSS	to meet, face; to pass.
Cross-row	alphabet
crossed	opposed. [Julius Caesar]
CROW	KEEPER one who scares crows
CROW-KEEPER	one who keeps crows away from corn-fields.
CROWNER	a coroner
CROWNET	a coronet
crush a cup	a common colloquial expression in Elizabethan English comparable to "crack open a bottle." [Romeo and Juliet]
CRY	the yelping of hounds A pack of hounds A company, use contemptuously
CRY (1)|CRY	the yelping of hounds.
CRY (2)|CRY	to appeal; to beg.
CRY (3)|CRY	public report or rumour.
CRY AIM	to encourage.
cry you mercy	beg your pardon. [Othello]
cubiculo	room, chamber. [Twelfth Night]
CUE	the last words of an actor's speech, which is the signal for the next actor to begin
CUISSES	pieces of armour to cover the thighs
CULLION	a base fellow
cullionly barbermonger	rascal who goes too often to the barber. [King Lear]
CUNNING	skill.
Cupid's Flower	the pansy, "love in idleness"
CURB	to bend, truckle
CURRENTS	occurrences.
Curst	bad tempered, shrewish
CURST CURSTNESS	shrewishness
CURSTNESS	shrewishness
cursy	curtsey, bow. [The Merchant of Venice]
CURTAIL	a cur
CURTAL	a docked horse.
CURTAL-AXE	a cutlass.
CUSTALORUM	a ludicrous mistake for Custos Rotulorum
CUSTARD	COFFIN: the crust of a custard-pudding
CUSTARD-COFFIN	the crust of a custard-pudding.
CUSTOMER	a common woman
CUT	a cheat 'To draw cuts' is to draw lots
cut-purse	thief. [Hamlet] D
Cut Thread and Thrum	cut everything good and bad
cyme	A usually flat-topped or convex flower cluster in which the main axis and each branch end in a flower that opens before the flowers below or to the side of it. Refers to senna. [link]
CYPRESS	a kind of crape
CYPRESS (1)|CYPRESS	a kind of crape.
CYPRESS (2)|CYPRESS	tree of durable wood (symbol of mourning).
CYTHEREA	Venus.
Daff	to take off, to thrust aside
dainty of	particular about
dallying	fondling one another. [Hamlet]
DAMN	to condemn
DANGER	reach, control, power
DANSKER	a Dane
DARE	to challenge
dareful	boldly
DARKLING	in the dark
DARRAIGN	to set in array
Dash	a mark of disgrace
date is out, the	it is no longer the fashion. [Romeo and Juliet]
Dateless	without end
DAUB	to disguise
DAUBERY	imposition
daws	jackdaws, or fools. [Othello]
DAY	WOMAN
Dear	expensive, a privilege dearly bought, deeply felt
dear account	sad reckoning. In Elizabethan English the word "dear" intensified the meaning -- you could have a "dear friend" and a "dear enemy." [Romeo and Juliet] death's-head: skull. [The Merchant of Venice]
DEARN	lonely
Dearths	famines, shortages
Debate	contention
DEBOSHED	debauched, drunken
Debosht	debauched
DECK	to bedew (this is probably a form of the verb 'to dag,' now a provincial word); a pack of cards
DECLINE	to enumerate, as in going through the cases of a noun
DECLINED	fallen
DEEM	doom; judgment
DEFEAT	destruction
DEFEATURE	disfigurement
DEFENCE	art of fencing
DEFEND	to forbid
DEFENSIBLE	having the power to defend
Deficient	mentally defective
DEFTLY	dexterously
DEFY	renounce
degrees	degrees of ranks
DELAY	to let slip by delaying
deliver thee	report to thee
delivers	communicates to us
DEMERIT	merit, desert
Demerits	deservings
demi	wolves a cross between dogs and wolves
DEMURELY	solemnly
DENAY	denial
DENIER	the 12th part of a French sol coin
denotement	careful observation. [Othello]
DENY	to refuse
DEPART	departure; to part
DEPARTING	parting, separation
DEPEND	to be in service
DERIVED	born, descended
Dern	secret, dismal
DEROGATE	degraded
DESCANT	a variation upon a melody, hence, metaphorically, a comment on a given theme
Deserve	reward
DESIGN	to draw up articles
DESPATCH	to deprive, bereave
DESPERATE	determined, bold
DETECT	to charge, blame
Determinate	decided upon
Determination	termination, end of lease
DETERMINE	to conclude
Devices	plans, projects
Dewlap	neck, the loose skin hanging from the throat of cattle
DICH	optative mood, perhaps contracted for 'do it.'
DIET	to have one's food regulated by the rules of medicine
DIFFUSED	confused
DIG	YOU-GOOD-DEN give you good evening
dignities	honors
DIGRESSING	transgressing, going out of the right way
DIGRESSION	transgression DIG-YOU-GOOD-DEN: give you good evening
Dilate	to tell in full
DILDO	the chorus or burden of a song
Diminutives	the smallest coins
DINT	stroke
Direct	regular
DIRECTION	judgment, skill
DISABLE	to disparage
DISAPPOINTED	unprepared
DISCASE	to undress
Discharge	perform
DISCONTENT	a malcontent
DISCOURSE	power of reasoning
discovery	scouting reports
DISDAINED	disdainful
Disdains|Disdaineth	is contemptous of
Disfigure	to obliterate
disjoint	fall to pieces
DISLIMN	to disfigure, transform
DISME	a tenth or tithe
dismount thy tuck	take thy rapier out of its scabbard or sheath. [Twelfth Night]
DISPARK	to destroy a park
dispatch	management
displaced	banished
DISPONGE	to squeeze out as from a sponge
Disports	recreations
DISPOSE	disposal
DISPOSITION	maintenance
DISPUTABLE	disputatious
DISPUTE	to argue, examine
dispute it	fight against it; reason upon it
disseat	unseat
dissemble	deceive. [Twelfth Night]
DISSEMBLY	used ridiculously for assembly
distaff	the spinning staff, and hence symbol of the woman. [King Lear]
distance	hostility
DISTASTE	to corrupt
Distemperature	disorder of the elements
DISTEMPERED	discontented
Distract	divide
DISTRACTION	a detached troop or company of soldiers
DISTRAUGHT	distracted, mad
divers	diverse, varied
DIVERTED	turned from the natural course
DIVISION	a phrase or passage in a melody
DIVULGED	published, spoken of
do my duties	voice my loyalty. [Othello]
DOFF	to do off, strip To put off with an excuse
dog at	clever at. [Twelfth Night]
doit	cheap coin. [The Merchant of Venice]
DOLE	portion dealt Grief, lamentation
dolor	sadness
DOLT	a small Dutch coin
DON	to do on, put on
DONE	'done to death,' put to death
dormouse valour	small amount of bravery. [Twelfth Night]
DOTANT	one who dotes, a dotard
doublet	lined jacket. [King Henry IV, Part 1]
Doubt	fear, apprehension
DOUT	to do out, quench
doves	the Chariot of Venus was drawn by doves, which were sacred to her. [Romeo and Juliet]
Dowager	a widow with a jointure
DOWLAS	a kind of coarse sacking
DOWLE	the swirl of a feather
DOWN	GYVED: hanging down like gyves or fetters
Down-gyved	hanging down
DRAB	a harlot
DRABBING	whoring
dram	small amount. [Twelfth Night]
DRAUGHT	a privy
DRAWN	having his sword drawn; drunk, having taken a good draught
DRIBBLING	weak
DRIVE	to rush impetuously
DROLLERY	a puppet-show
dropping fire	thunderbolts. [Julius Caesar]
drops of sorrow	tears. [Macbeth]
drossy	frivolous. [Hamlet] dry sorrow (drinks our blood): another old belief, that sorrow caused people to go pale through lack of blood. [Romeo and Juliet]
drowse	become drowsy
Drumble	clumsy or slow
DRY	thirsty
Dry-beat	to beat
DUC	DAME perhaps the Latin duc-ad-me, bring him to me
DUDGEON	a dagger
DULL	soothing
DULLARD	a dull person
DUMP	complaint
dun's the mouse	a slang Elizabethan phrase meaning "Keep quiet." [Romeo and Juliet]
dunnest	darkest
Dup	to open
dupp'd	opened. [Hamlet]
durst	dared
dwell on form	do the proper thing (in the formal, conventional way). [Romeo and Juliet] E
E'ER	contraction of 'ever'.
EAGER	sour Harsh Biting
EANLING	a yeanling, a lamb
eanlings	lambs. [The Merchant of Venice]
EAR	to plough
EAR-KISSING	private; whispered.
earnest	pledge, money paid beforehand
EASEFUL	restful.
EASILY	without difficulty; smoothly, freely.
easy	easily
EAVES	the clipt edge of a thatched roof.
EBB	to decline, decay.
EBON	black, ebony
EBREW	common spelling of Hebrew in the Renaissance.
ECHE	to eke out
ECHO	mountain nymph (from Greek mythology).
ecstasy	any state of being beside one's self
Edward	Edward the Confessor, king of England [link]
EFFECT (1)|EFFECT	end result; drift, tenor; expression; intimation.
EFFECT (2)|EFFECT	(vb.) to produce; to give effect.
effects	act, actions
EFFUSE	pouring out.
EFT	ready, convenient.
Eftest	readiest
Eftsoons	immediately
EGAL	equal.
Egally	equally
egg	term of contempt
Eglantine	sweetbriar
EGMA	used mistakenly for 'enigma' in LLL 3.1.75.
EGREGIOUS	very great.
Egyptian	gypsy. [Othello]
EISEL	vinegar
EKE (1)|EKE	to increase; to add; to supplement.
EKE (2)|EKE	(avb.) also.
ELD	old age
Elf	to tie hair into knots
elflocks	when dirty hair became clotted together it was superstitiously put down to elves, hence "elflocks." [Romeo and Juliet]
eliads	from the French "oeillades," amorous glances. [King Lear]
Elysium	paradise (Illyria). [Twelfth Night]
EMBALLING	the ceremony of carrying the ball at a coronation (invented by Shk.).
Embarquemnet	restraint, hindrance
EMBASSADOR	ambassador.
EMBASSAGE	errand.
EMBATTLE	to engage in combat.
EMBOSSED	swollen into protuberances; covered with foam
embowell'd	embalmed. [King Henry IV, Part 1]
EMBOWELLED	disembowelled, emptied
EMBRASURE	embrace.
EMBRUE	old spelling of 'imbrue'.
EMINENCE	exalted station
EMPERY	empire
Emulation	jealous competition, rivalry
EMULOUS	jealous.
ENCAVE	to place oneself in a cave
enchafed	angry. [Othello]
END	'Still an end,' continually for ever
Endeared	made dear, made precious, is dear to
endues	brings. [Othello]
ENFEOFF	to place in possession in fee simple
Enforced	forced, violated
ENGINE	a machine of war
ENGLUT	to swallow.
engluts	devours. [Othello]
ENGROSS	to make gross or fat
ENGROSSMENT	immoderate acquisition
ENKINDLE	to make keen, to incite
ENLARD	to fatten.
Enlargement	freedom, libarty
ENMEW	to shut up, as a hawk is shut up in a mew
enow	enough
ENSCONCE	to cover as with a fort.
ENSEAMED	fat, rank
Ensear	to wither, to dry up by heat
ENSHIELD	hidden
ensteeped	submerged. [Othello]
ENTERTAIN	to keep up; to treat; to occupy (time).
ENTERTAINMENT	treatment A disposition to entertain a proposal Service
Entreatment	invitation
ENTREATMENTS	interviews.
envy	hatred. [The Tempest]; malice. [Julius Caesar]
enwheel	encompass. [Othello]
EPHESIAN	a toper, a cant term
epicures	a person devoted to luxury (especially with food), the root of hedonisitic philosophy was Epicureanism as definde by the Greeks
EQUIPAGE	attendance
equivocate to heaven	get to heaven by equivocation
equivocator	a person who speaks ambiguously, perhaps to mislead. Here is alludes to the 1606 trial of Henry Garnet, accused of treason.
Ercles	Hercules
ere	before
Erewhile	a little while ago
erns	grieves. [Julius Caesar]
Escape	escapade
Escot	to pay for
ESPERANCE	hope, used as a war-cry.
ESPIAL	a scout or spy.
estate	royal dignity, succession to the crown
Estate Unto	bestow upon
ESTIMATION	conjecture ESTRIDGE: ostridge
ESTRIDGE	ostridge.
eternal jewel	immortal soul
eterne	perpetual
Ethiop's	Negro, as used by Shakespeare, not Ethiopian in its narrower sense. [Romeo and Juliet]
EVEN	coequal
EXAMINE	to question.
exasperate	exasperated
EXCREMENT	that which grows outwardly from the body and has no sensation like the hair or nails Any outward show
EXECUTOR	an executioner
EXEMPT	excluded.
EXERCISE	a religious service
Exeunt	They leave the stage[audio]
EXHALE	to hale or draw out to draw the sword
EXHIBITION	allowance, pension.
EXIGENT	death, ending.
EXION	mistakenly used for "action" by Mrs. Quickly in 2KH4 2.1.34.
EXPECT	expectation
expectation	those guests who are expected
EXPEDIENCE	expedition, undertaking.
EXPEDIENT	expeditious, swift
expedition	haste
EXPIATE	completed.
EXPOSTULATE	to expound, discuss.
EXPOSTURE	exposure.
EXPRESS	to reveal
EXPULSE	to expel
EXSUFFICATE	contemptible.
EXTEND	to seize.
EXTENT	a seizure
Extenuate	mitigate, relax
EXTERN	outward.
EXTIRP	to extirpate
EXTRACTING	distracting
EXTRAUGHT	extracted, descended.
EXTRAVAGANT	foreign, wandering.
extravagant and erring	vagrant and wandering (both used in original Latin sense, a common device of Shakespeare). [Hamlet]
EXTREMES	extravagance of conduct.
extremities	extremes of power. [Julius Caesar]
EYAS	a young hawk taken fromthe nest for training.
EYAS-MUSKET	'nest-bird', used to mean 'sprightly child'.
EYE	the organ of sight; attributed to the heavenly bodies; sight, a slight shade or tinge.
EYE-GLASS	the lens of the eye.
EYE-WINK, EYE-BEAM	look, glance.
eyeless	invisible. [King Lear]
eyes' windows	eyelids (
EYESTRINGS	the nerves and tendons of the eyes
EYNE	eyes
FACINOROUS	wicked.
FACT	guilt.
FACTIOUS	instant, importunate.
faculties	powers, prerogatives
FACULTY	essential virtue or power.
FADGE	to suit
FADING	a kind of ending to a song
Fadom|Fathom	capacity
fain	gladly
Faint	pale
FAIR	beauty.
faith	breach treachery
FAITOR	a traitor
FAll	to let fall.
fall off	become a rebel or traitor. [King Henry IV, Part 1]
falling sickness	epilepsy. [Julius Caesar]
FALLOW	fawn-coloured
Falls purpose	is close to the truth. [Julius Caesar]
FALSE	falsehood
FALSING	deceptive
familiar	a witch's evil spirit who acts as a servant
Famine	emptiness, starvation, lack of provision for posterity
Famoused	famous, renowned
FANCY	FANCY-FREE untouched by love
FANCY FANCY	FREE: untouched by love
Fancy-free	free from the power of love
Fancy-sick	sick for love
FANG	to seize in the teeth
FANTASTIC	a fantastical person
fantastical	imaginary, not real
FAP	drunk.
FAR	farther.
FARCED	stuffed
FARDEL	a burden
farrow	litter of pig
FARTUOUS	used ridiculously for ' virtuous.'
fashion	shape to our purpose. [Julius Caesar]
FAST	assuredly, unalterably.
FAT	dull.
Fates	in classical mythology, the three goddesses who directed human destinies. [Julius Caesar]
favor	pardon, countenance, face
Favors	features, love tokens, nosegays of flowers
FAVOUR	countenance; complexion; quality
FEAR	the object of fear.
FEARFUL	subject to fear, timorous.
fears	objects of fears
FEAT	dexterous
FEATER	comp. degree. more neatly.
feather-bed	i.e.. marriage. [The Merchant of Venice]
FEATLY	nimbly, daintily.
FEATURE	beauty.
FEDERARY	confederate.
fee	grief "grief that hath a single owner" (private grief)
feed	feeding
FEEDER	agent, servant
FEERE	a companion, husband.
FEHEMENTLY	used ridiculously for 'vehemently.'
fell	deadly, evil, extremely angry
Fellow	match, equal
fen	swamp or marsh
FENCE	art or skill in defence
FEODARY	one who holds an estate by suit or service to a superior lord; hence one who acts under the direction of another
FESTER	to rankle, grow virulent.
festinate	speedy. [King Lear]
FESTINATELY	quickly
FET	fetched
fetches	excuses. [King Lear]
fia	forward! (from the Italian via.) [The Merchant of Venice]
FICO	a fig.
Fie	shame on you
FIELDED	in the field of battle
Fife	a county in eastern Scotland, Macduff is the thane of Fife
FIG	to insult.
FIGHTS	clothes hung round a ship to conceal the men from the enemy
Figure	typify
figures	fantasies. [Julius Caesar]
File	list
filed	made foul, defiled
FILL	HORSE
FILL-HORSE	shaft-horse.
FILLS	the shafts
FILTH	a whore
FINE	end.
FINELESS	endless.
FIRAGO	ridiculously used for 'Virago.'
FIRE	NEW with the glitter of novelty on, like newly- forged metal
FIRE-DRAKE	Will o' the Wisp.
FIRE-NEW	with the glitter of novelty on, like newly-.
FIRK	to chastise
first	once for all from the beginning to the end
FIT	a canto or division of a song A trick or habit
Fitchew	a skunk
fits	caprices
FIVES	a disease incident to horses
FLAP	JACK: a pan-cake
FLAP-DRAGON	raisins in burning brandy.
FLAP-JACK	a pan-cake.
FLAT	certain
FLATNESS	lowness, depth.
Flatter	to stroke (usually means insincerity or deception)
FLAW	to make a flaw in, to break.
flaws	storms of passion
FLECKED	spotted, streaked.
fleer	scorn, or mock at. [Romeo and Juliet]
fleering	the Elizabethan meaning combined our "fawning" and "sneering." [Julius Caesar]
FLEET	to float To pass away to pass the time
FLEETING	inconstant.
FLESHMENT	the act of fleshing the sword, hence the first feat of arms
Flew'd	having an overhanging lip on the upper jaw
FLEWED	furnished with hanging lips, as hounds are
Flibbertigibbet	the name of a devil; here and later Shakespeare takes the names of his devils -- Smulkin, Modo -- from a book by Samuel Harsnett published in 1603. The names also give the effect of the devils, fiends and goblins of folk mythology, which would come naturally to Tom o' Bedlam. [King Lear]
FLIGHT	a particular mode of practising archery.
flighty	fleeting
FLIRT	GILL: a light woman
Flirt-gill	a trivial wench
flirt-gills	loose women. "Gill" was a familiar or contemptuous term for a girl (as "Jack" for a boy). [Romeo and Juliet]
Floodgate|Flood-gate	sweeping
FLOTE	wave, sea
Flourish	trumpet fanfare announcing the king
Flout	mock at
flowerets	young men in the flower of their manhood. [King Henry IV, Part 1]
flung out	kicked and plunged wildly. [Macbeth]
FLUSH	fresh, full of vigour
fly	fly from me
Fobbed	cheated, tricked
FOIL	defeat, disadvantage
FOIN	to fence, fight
FOISON	plenty
foisons	plenty, rich harvests, abundance
follows	attends
FOND	foolish, foolishly affectionate
foolish	MOUSE-HUNT a weasel
fools' zanies	clowns' assistants. [Twelfth Night]
FOOT	CLOTH
FOOT-CLOTH	a saddle-cloth hanging down to the ground.
fopped	duped. [Othello]
FOR	for that, because.
FORBID	accursed, outlawed.
FORBODE	forbidden
FORCE	to stuff, for 'farce.'
forced	strenghtened (reinforced)
fordid	destroyed. [King Lear]; destroys. [Othello]
FORDO	to kill, destroy To weary
Fordone	exhausted
Foregone	in the past
FOREIGN	obliged to live abroad
FOREPAST	former.
FORESLOW	to delay
FORFEND	to forbid
forge	fabricate, invent
Forgeries	idle inventions
FORGETIVE	inventive.
FORKED	horned
forks	legs. [King Lear]
FORMAL	regular, retaining its proper and essential characteristic
formal constancy	steadfast self-possession. [Julius Caesar]
Forres	a town in northern Scotland
Forslow	to delay
FORSPEAK	to speak against.
FORSPENT	exhausted, weary
forsworn	gone against one’s word, sworn a falsehood
FORTHRIGHT	a straight path; forthrights and meanders, straight paths and crooked ones
FORWEARY	to weary, exhaust
FOSSET	SELLER one who sells the pipes inserted into a vessel to give vent to the liquor, and stopped by a spigot
FOSSET-SELLER	one who sells the pipes inserted into a vessel.
founded	firmly fixed
four elements	earth, air, fire, and water: The Elizabethans believed that humanity was made up of various combinations of these four elements. The theory of humours was based upon this theory. [Twelfth Night]
FOX	SHIP: the cunning of the fox
FOX-SHIP	the cunning of the fox.
Fracted	broken
frame of things	universe
FRAMPOLD	peevish, unquiet
franchised	free, unstained
Frank	generous, liberal,the feeding place of swine
FRANKED	confined.
FRANKLIN	a freeholder, a small squire.
FRAUGHT	freighted.
FRAUGHTAGE	freight.
FRAUGHTING	to fraught; foarming the cargo.
free	honorable
French Crown Color	light yellow, the color of the gold of the french crown
French hose	tight breeches
FRESH	a spring of fresh water
FRET	to wear away.
FRIEND	to befriend.
frieze	rough cloth. [Othello]
fright	frighten, terrify
frippery	old-clothes shop. [The Tempest]
FROM	prep. contrary to
from the main	not the strong. [Julius Caesar]
FRONT	to affront, oppose
FRONTIER	opposition
FRONTLET	that which is worn on the forehead.
FRUSH	to break or bruise.
FRUSTRATE	frustrated.
fry	literally a swarm of young fishes; here used as a term of contempt
FUB OFF	to put off
Fubbed off	put off with execuses
FULFILL	to fill full
FULL	complete
FULLAM	a loaded die.
Fullams	fixed dice
FULSOME	lustful.
function	power of action
furbish'd	burnished
FURNISHED	equipped.
FURNITOR	furnitory, an herb
fust	grow moldy. [Hamlet]
fustian	bombastic, ridiculously pompous (when used as an adjective). [Twelfth Night] G
GABERDINE	a loose outer coat, or smock frock
GAD	a sharp spike.
Gadge	to pledge
Gadooks!	Holy Cow!
gage	to bind as by oath or promise; to pledge. [King Henry IV, Part 1]
gaged	indebted. [The Merchant of Venice]; pledged. [Hamlet]
GAIN	GIVING: misgiving
GAIN-GIVING	misgiving.
Gaingiving	misgiving
GAIT	going, steps
Gall	bitterness, annoy
GALLIARD	a kind of dance
GALLIASSE	a kind of ship.
GALLIMAUFRY	a ridiculous medley.
GALLOW	to scare.
GALLOWGLASS	soldiers formerly maintained by Irish chiefs.
gallowglasses	heavy-armed Irish troops
Gallows-bird	a person who deserves to be hanged
galls his kibe	steps on (scrapes) his heel. [Hamlet]
gamesome	sportive. [Julius Caesar]
GAMESTER	a frolicsome person A loose woman
GARBOIL	disorder, uproar
GARISH	gaudy, staring
GARNER	to lay by, as corn in a barn.
gaskins	breeches. [Twelfth Night]
GAST	frightened.
gasted	frightened (as in "aghast"). [King Lear]
GAUDY	festive.
gauntlet	armored glove flung down as a challenge. [King Lear]
Gawds	trifles, trinkets
GAZE	an object of wonder
GEAR	matter of business of any kind.
GECK	a fool.
Gender	kind
GENERAL	the generality, common people
GENERATIONS	children.
GENEROSITY	noble birth.
GENEROUS	noble.
genius	guardian spirit which influences destiny
Gennets	spanish horses
GENTILITY	good manners.
GENTLE	gentlefolk.
gentle senses	senses which are soothed (by the "gentle" air)
GENTRY	complaisance, conduct becoming gentlefolk.
GERMAN	akin.
GERMEN	seed, embryo.
germins	germs, seeds, origins
GEST	period.
get	beget
get the start	i.e., a head start; the metaphor from the running of a race is carried on in the victor's "palm" in the next line. [Julius Caesar]
GIB	a he-cat
gibbet	gallows
GIFTS	talents, endowment
GIGLOT	a wanton girl.
Gild'st	make golden, enrich with gold
GILDER	a coin.
GILT	money.
GIMMAL	double.
GIMMOR	contrivance.
gin	a trap to catch birds
GING	gang GIRD: to gibe; a sarcasm or gibe
Gird	scoff, jest
give him o'er	leave someone alone. [The Tempest]
gives out	proclaims
Glance at	hint at
Glass	mirror
glazed	a combination of glared and gazed. [Julius Caesar]
GLEEK	to scoff.
Glib	to geld
GLOSE	to comment; hence, to be garrulous.
GLUT	to swallow.
GNARL	to snarl
Gnarling	snarling
Go about	attempt
go off	die
goatish	the goat was frequently used to represent lechery by the Elizabethans. [King Lear]
God-den	good evening, a contraction of the fuller "God give you a good even." [Romeo and Juliet]
God dild us	God reward us
God dild you	God reward you
golden round	the crown
Golgotha	Where Jesus was crucified, "place of the skull" [link]
good	evening, contracted from 'Good-even.' GOOD-YEAR or GOOD-JER a corruption of the French goujere; the venereal disease
GOOD-DEED	indeed.
GOOD-DEN	good-evening, contracted from 'Good-even.'.
goodness	"the chance of success
goodyears	the word is usually taken to refer to the forces of evil, in accordance with the folk tradition of calling evil spirits by innocent names, e.g., "little people" for "goblins." [King Lear]
goose	tailor's iron. [Macbeth]
GORBELLIED	corpulent
Gorgon	A monster of Greek myth, whose look could turn a person to stone, as with Medusa.
gospeled	versed in the first four books of the New Testament, the Gospels [link]
Gossip's Cup	originally a christening cup; then applied to a drink usually<BR>prepared for christening feasts which ingredients were<BR>ale, spice, sugar, and roasted crab-apples
GOURD	a species of game of chance
GOUT	a drop
gouts	drops
GOVERNMENT	discretion
grace	honor
grace for grace	favor in return for favor. [Romeo and Juliet]
graced	gracious, full of graces
GRACIOUS	abounding in grace Divine.
GRAINED	engrained
GRAMERCY	int. grand mercy, much thanks
grandam	Grandmother
GRANGE	the farmstead attached to a monastery, a solitary farm-house
GRATILLITY	used ridiculously for 'gratuity.'
GRATULATE	to congratulate
GRAVE	to bury.
Graymalkin	The first witch's familiar, a gray cat
GREASILY	grossly
great doom's image	a sight horrible like the end of the world or Judgement Day
great wheel	the wheel of Fortune, and the great man (King Lear) in decline. [King Lear]
GREEK	a bawd
GREEN	immature, fresh, unused
green sour ringlets	fairy rings formed by toadstools. [The Tempest]
GREENLY	foolishly
GREET	to weep.
Grimalkin	gray cat
gripe	grasp
grise	degree. [Othello]
GRIZE	a step.
grizzled	gray. [Hamlet]
Gross	obvious
gross and scope	general conclusion. [Hamlet]
gross in sense	perfectly clear. [Othello]
GROSSLY	palpably
groundings	the poorer and less critical section of the audience who stood in the pit. [Hamlet]
GROUNDLING	one who sits in the pit of a theatre
Grow	come to the point
GROWING	accruing.
GUARD	decoration.
GUARDAGE	guardianship
gudgeon	a fish. [The Merchant of Venice]
GUINEA	HEN the pintado, a cant term
GUINEA-HEN	the pintado, a cant term.
GULES	red, a term in heraldry.
GULF	the throat.
gull	deceive and trick. [Twelfth Night]
GUN	STONE a cannon ball
GUN-STONE	a cannon ball.
GUST	taste, relish.
guttered	jagged. [Othello] H
GYVE	to fetter
Habits	garments
HACK	to become common
Hackney	a loose woman
HAG	SEED: seed or offspring of a hag
HAGGARD	a wild or unreclaimed hawk
HAIR	course, order, grain
HALIDOM	holiness, sanctification, Christian fellowship; used as an oath, and analogous to 'By my faith.'
HALL	an open space to dance in
HALLOWMAS	All Hallows' Day
hams	knees. [Romeo and Juliet]
HANDSAW	perhaps a corruption of Heronshaw; a hern
HAP	chance, fortune
haply	perhaps
HAPPILY	accidentally
Harbinger	forerunner, an officer of the king's household
hard construction	uncharitable interpretation. [Twelfth Night]
HARDIMENT	defiance, brave deeds
hardly	with difficulty
HARLOCK	charlock, wild mustard
Harlot	lews, base
harms	injuries
harp'd	hit, touched
Harpier	familiar of the third witch, maybe derived from harpy (a bird with a woman's head, part of Greek myth)
harpy	a mythical beast having the head of a woman and the body, wings, and talons of an eagle: supposed to act as an agent of vengeance. [The Tempest]
HARRY	to annoy, harass
hart	deer, with a pun on heart. [Julius Caesar]
Haste-Post-Haste	speediest
HAUGHT	haughty
HAUNT	company
hautboys	high-pitched win instruments, oboes [audio]
have at thee	on guard! [Romeo and Juliet]
have old	have a great deal of trouble (a slang term). [Macbeth]
HAVING	property, fortune
HAVIOUR	behavior
HAY	a term in fencing
HEADY	violent, headlong
hear	talk with
