##name	Tunneling
##sourceLang	Hebrew
##targetLang	English
##bgl_defaultCharset	cp1255
##bgl_sourceCharset	cp1255
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1255
##bgl_sourceEncoding	cp1255
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	Hebrew to English Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2006/08/24, 09:35
##bgl_middleUpdated	2012/05/23, 14:58
##bgl_lastUpdated	2012/05/23, 14:58
אבטחת איכות|א"א	Quality Assurance
מודול האלסטיות|מודול יאנג	Modulus of Deformation
מודול הגזירה|מודול גזירה	Shear Modulus
מודול החתך|מודול חתך	Section Modulus
מודול יאנג	Young's Modulus<BR>Modulus of Elasticity<BR>
מוחזק|מוחזקים	Braced
מוט|בורג	Re Bar<BR>Rod
מוט בצורת קרס	Hook Bar
מוט זיון חלק|מוטות זיון חלקים	Plain Bar
מוט לחץ במסבך|מוט לחוץ|מוט לחיצה|מוט לחץ|מוטות לחיצה|מוטות לחץ|מוטות לחץ במסבך	Strut
מוט מצולע|מוטות מצולעים	Ribbed Bar<BR>Deformed Bar
מוט מצולק|מוטות מצולקים	Indented Bar
מוט מתוח|מוט מתוח במסבך	Tie
מוט מתיחה|מוטות מתיחה	Tension Rod
מוכתב|מוכתבים	Specified
מומנט אינרציה|מומנט התמדה|מומנטי אינרציה|מומנטי התמדה	Moment of Inertia
מומנט התנגדות|מומנטי התנגדות	Moment of Resistance
מומנט כפיפה|מומנט|מומנטי כפיפה|מומנטים	Bending Moment
מוסף	Additive<BR>Admixture
מוסף על פלסטי|מוספים על פלסטיים	Superplasticizer
מופרע	Disturbed
מורכב	Built Up
מותר|מותרים	Allowable
מחבר|מחברים	Connector<BR>Coupling<BR>Joint
מחוספס|מוחספסים	Rough
מחזור התקדמות|מחזור ההתקדמות	Advance Per Cycle<BR>Excavating Cycle
מחיצות|מחיצה	Partitions
מחיר יחידה|מחירי יחידה	Unit Price
מחיר קבוע	Fixed Price
מחפר|מחפרים	Excavator
מחפר חופנים|מחפר	Clamshell
מחפר כוח|מחפר|מחפרי כוח|מחפרים	Power Shovel
מחפר מיכל	Bucket
מחפר מתעל|מחפר	Trencher
מחפר נסוג|מחפר	Bagger
מחפר תעלות|חופר תעלות|חופרי תעלות|מתעל|מתעלים	Trencher
מחצבה|מחצבות	Quarry
מחצית כיפה	Half Dome
מטודולוגיה|דרך פעולה שיטתית	Methodology
מטען נפץ שלא התפוצץ|מטען שלא התפוצץ|מטעני נפץ שלא התפוצצו|מטענים שלא התפוצצו	Unexploded Charge
מטריית צינורות|מטריית צינורות לתימוך מקדים|מטריית צינורות קירוי מקדים	Pipe Umbrella
מטריצת הקשיחות|מטריצות הקשיחות|מטריצות קשיחות|מטריצת קשיחות	Stiffness Matrix
מי תהום	Underground Water
מידע טכני	Technical Information
מיוחד	Distinctive
מיון	Classification
מיון סלע בשיטת הק-בראון|מיון סלע בשיטת הק בראון	Hoek Brown Classification
מיון קרקעות	Soil Classification
מיוצב|מיוצבים	Stabilize
מיידי לביצוע	Urgent
מילוי	Filling
מילוי גרנולרי	Frictional Fill
מילוי חוזר	Backfilling
מילוי מאחורי קיר דיפון|מילוי אחורי	Backfill
מים כלואים	Confined Water
מים ממקור מגמטי|מים ממקור יובנילי	Juvenile Water
מים ממקור מטאורי|מי גשם ושלג	Meteoric Water
מים פריאטיים	Phreatic Water
מים שעונים	Perched Water
מימון	Financing
מיסעה|מיסעות	Superstructure
מיסעה גמישה|מיסעות גמישות|מסעה גמישה|מסעות גמישות	Flexible Pavement
מיסעה קשיחה|מיסעות קשיחות	Solid Superstructure
מיסעת הגשר	Bridge Deck
מיקרו מנהור|מינהור מונחה עצמי|מיקרו מינהור|מנהור מונחה עצמי	Micro Tunneling
מיקרו סיליקה	Silica Fume
מישור הגזירה|מישור גזירה|מישורי גזירה|מישורי הגזירה	Shear Plane
מישור החלקה|מישורי החלקה	Slickensided
מישור משונן|מדורג	Stepped
מישורי|מישוריים	Planar
מישורי פצילות|מישור פצילות	Cleavage Planes
מישורי שיכוב|מישור שיכוב	Bedding
מישוריות	Planarity
מיתד|מיתדים	Dowel
מיתר|גדילים|מוט|מוטות|מיתרים	Tendon
מכבש|מכבשים	Roller<BR>Compactor
מכון התקנים הישראלי|מכון התקנים|מת"י	The Standards Institution of Israel - SII
מכונה להרמה ולהעמסה	Load Haul Dump - LHD
מכונה לטאטוא|מכונות טאטוא|מכונות לטאטוא|מכונת טאטוא	Sweeper
מכונה ליציקת שפה	Curb Master
מכונת חיתוך|מכונות חיתוך	Road Header<BR>Boom Cutter<BR>
מכונת כרסום|מכונות כרסום	Road Header<BR>Boom Cutter
מכונת מנהור בחתך מלא|מכונות מינהור בחתך מלא|מכונות מנהור בחתך מלא|מכונת מינהור בחתך מלא	Tunnel Boring Machine - TBM<BR>Full Face Tunneling Machine<BR>Mole<BR>Small Boring Unit - SBU
מכונת מנהור עם איזון לחץ עפר	Earth Pressure Balance Machine
מכונת סלארי|מכונות סלארי	Slurry Machine
מכונת קידוח|מכונות קידוח	Jumbo<BR>Rock Jumbo
מכניזם|מנגנון התפקוד	Mechanism
מכניקת הסלע|מכניקת סלע	Rock Mechanics
מכניקת הקרקע|מכניקת קרקע	Soil Mechanics
מכסה ראש העוגן|דיסקת דריכה	Bearing Head
מכריע	Dominating
מכרסמת|מכונת חיתוך|מכונת כרסום|מכונת מנהור בשיטת החיתוך|מכונת מנהור בשיטת הכרסום	Boom Cutter
מכשור גיאוטרכני|מיכשור גאוטכני|מיכשור גיאוטכני|מכשור גאוטכני	Geotechnical Instrumentation
מלגזה|מלגזות	Fork Lift
מלט	Mortar
מלט מעוכב	Retarded Mortar
ממגורה|ממגורות	Silo
ממד|מימד|מימדים|ממדים	Diamension
ממצאי הגאולוגיה באתר	On-Site Geology
ממשק	Interface
מנהור|מינהור	Tunneling
מנהור בחזית מעורבת|מינהור בחזית מעורבת	Mixed Face Tunneling
מנהור בסלע	Rock Tunneling
מנהור בקרקע רכה|מינהור בקרקע רך|מינהור בקרקע רכה|מנהור בקרקע רך	Soft Ground Tunneling
מנהל אתר	Construction Manager
מנהרה|מנהרות	Tunnel
מנהרה בחתך עגול	Circular Tunnel
מנהרה העוברת דרך קרקע רכה|מנהרה בקרקע רכה|מנהרה העוברת בקרקע רכה|מנהרות בקרקע רכה|מנהרות העוברות בקרקע רכה|מנהרות העוברות דרך קרקע רכה	Soft Ground Tunnel
מנהרה מקשרת	Connecting Tunnel<BR>Connection Tunnel
מנהרת גישה|מנהרות גישה	Access Tunnel
מנהרת מילוט|מנהרת חילוץ|מנהרת חילוץ והצלה	Escape Tunnel<BR>Rescue Tunnel
מנהרת סלע|מנהרה העוברת דרך סלע|מנהרות העוברות דרך סלע|מנהרות סלע	Rock Tunnel
מנוף|מנופים	Crane
מנת התימוך	Rib Ratio
מס ערך מוסף|מע"מ	Value Added Tax - VAT
מסבך|מסבכים	Truss
מסבכון פלדה|מסבכוני פלדה	Pantex Lattice Girder
מסבכונים|מיסבכון|מיסבכונים|מסבכון	Girders
מסגרת המכרז|מסגרת החוזה	Tenter Frame
מסגרת לא מוחזקת|מסגרות לא מוחזקות|מסגרת שאינה מוחזקת	Sway Frame
מסגרת מבנית|מסגרות מבניות|מסגרות תומכות|מסגרות תמיכה|מסגרת תומכת|מסגרת תמיכה	Structural Frame
מסגרת מוחזקת	Braced Frame
מסגרת מישורית|מסגרות מישוריות	Plane Frame
מסגרת מרחבית|מסגרות מרחביות|שלד תלת ממדי	Space Frame
מסוע|מסועים	Conveyor
מסור לחיתוך בטון|מכונה לחיתוך בטון|מסור חיתוך מטון	Concrete Cutting Saw
מסיבי	Massive
מסלול המראה|מסלולי המראה	Runway
מסמכי החוזה|מסמכי חוזה	Contract Documents
מסמר|מסמר קרקע|מסמרי קרקע|מסמרים	Nail
מסמר קרקע|מסמרי קרקע	Soil Nail
מסנן|מסננים|פילטר|פילטרים	Filter
מסננים|מסנן	Scrubbers
מסעף|התפלות לשני חלקים|התפצלות|התפצלות לשתיים|נתפצלות לשניים	Bifurcation
מספר חתך	Chainage
מספר מכות לחדירה|מכות לחדירה	Standard Penetration Test - SPT
מסת הסלע	Rock Mass
מסתיים	Resulting
מעבר חירום להולכי רגל|מעבר חירום|מעברי חירום|מעברי חירום להולכי רגל|נתיב בטוח|נתיב בטוח להולכי רגל|נתיבים בטוחים|נתיבים בטוחים להולכי רגל	Safety Walkway
מעבר שבר	Fault Crossing
מעבר תת קרקעי|מעברים תת קרקעיים	Drift
מעגל מוהר|מעגלי מוהר	Mohr Circle
מעוות	Deformed
מעטפת|מעטפות	Envelope
מעטפת הכשל	Failure Envelope
מעטפת כוחות	Load Envelope
מעכב התקשרות|מעכב|מעכבי התקשרות|מעכבים	Retarder
מעקב	Observation
מעקף	Bypass
מערבל בטון|מערבלי בטון|ערבל|ערבלים	Concrete Mixer
מערך|מערכים	Layout
מערך ברגי סלע|מערכי ברגי סלע	Rockbolt Pattern
מערך הסעת המונים	Mass Transit System
מערך קבוע|חלוקה קבועה	Pattern
מערכת|מערכות	System
מערכת הזיון|מערכות הזיון|מערכות זיון|מערכת זיון	Reinforcement System
מערכת הכוונה וניהוג|מערכת הכוונה|מערכת כיוון|מערכת ניהוג	Guidance System
מערכת הקשחה	Bracing System
מערכת הרמה|מערכות הרמה	Lifting System
מערכת ניהוג|מערכת ג'קים לכיוונון|מערכת ג'קים לכיוונון ראש הקידוח בדחיקת צינורות|מערכת כיוון	Steering Jacks
מערכת סידוק|מספר קבוצות סידוק	Joint System
מערכת קואורדינטות	Coordinate System
מפוח אוויר	Bellows
מפוח אוורור|מפוח|מפוח איוורור|מפוחי אוורור|מפוחי איוורור|מפוחים	Fan
מפורס|מפורסים	Distributed
מפלס|מפלסים|רום|רומים	Level
מפלס המים|מפלס מים|מפלסי המים|מפלסי מים	Water Level
מפלס מי תהום|מפלס מי תיהום|מפלס מי-תהום|מפלס מי-תיהום	Ground Water Table
מפלס מילוי|מפלסי מילוי	Fill Up Level
מפלס תחתון במנהרה|המפלס התחתון במנהרה	Invert
מפלסת|מפלס ממונע|מפלסות	Motor Grader
מפקח|מפקחים	Supervisor<BR>Inspector
מפרט|מיפרט|מיפרטים|מפרטים	Specifications
מפתח|מיפתח|מיפתחים|מפתחים	Span
מצב גבולי|מצב גבולי של הרס	Limit State<BR>Ultimate
מצב גבולי של הרס	Ultimate Limit State
מצב גבולי של שירות|מצב גבולי בשירות|מצב גבולי בשרות|מצב גבולי של שרות	Serviceability Limit State
מצב פני הסלע|מצב פני סלע	Surface Condition
מצגת|מצגות	Presentation
מצוי|מצויים	Common<BR>Usual<BR>Frequent<BR>Available
מצעים|מצע	Bedding
מקדח	Auger<BR>Drilling Jumbo
מקדח אדמה|מקדח|מקדחי אדמה|מקדחים	Earth Auger
מקדח להתקנת ברגי סלע|מכונות ברגי סלע|מכונת ברגי סלע|מקדח ברגי סלע|מקדחי ברגי סלע|מקדחים להתקנת ברגי סלע	Rock Bolter
מקדח מטפס	Raise Drill
מקדח סלע ממונע|מקדח ממונע לסלע|מקדחי סלע ממונעים	Driven Rock Drill
מקדם	Coefficient<BR>Factor
מקדם ביטחון|מקדמי ביטחון	Safety Factor - SF
מקדם ההחלשה עקב המים בסדקים|מקדם החלשה עקב המים בסדקים	Jw - Joint Water Reduction
מקדם החדירות	Coefficient of Permeability
מקדם הציפה	Buoyant Unit Weight
מקדם חדירות	Permeability Coefficient
מקדם חספוס הסדק	Jr - Joint Roughness Number
מקדם לחץ הקרקע במנוחה	Coefficient of Earth Pressure at Rest
מקדם פואסון|פואסון	Poisson's Ratio
מקדם צורה|מקדמי צורה	Shape Factor
מקדם קשיחות הקרקע|מקדם קשיחות קרקע|מקדמי קשיחות הקרקע|מקדמי קשיחות קרקע	Soil Stiffness Factor
מקדמי ביטחון חלקיים|מקדם ביטחון חלקי	Partial Safety Factors
מקיף	Surrounding
מקל|מקלות	Stick
מקשי|מיקשי|מיקשיים|מקשיים	Solid
מראה מקום|מראי מקום	Reference
מרווח בין חישוקי הגזירה|מרווח בין חישוקי גזירה	Spacing of Stirrups<BR>
מרווח בין כלונסאות	Spacing of Piles
מרווח בין מוטות הזיון|מרווח בין מוטות זיון|צפיפות הזיון|צפיפות זיון	Spacing of Reinforcement Bars
מרוכב	Composite
מרחק מהחזית|מרחק מחזית|מרחק מחזית הכרייה	Distance from Working Face
מרטט|מהדק|מרטטים	Vibrator
מרכזית של שטח|מרכזית	Centroid
מרתף	Basement
משאבת בטון|משאבות בטון	Concrete Pump
משוכב היטב עד דק	Well Bedded Laminated
משטח דריכה|משטחי דריכה	Load Transfer Block
משטח עבודה|משטחי עבודה	Working Platform
משטר	Regime
משטר מאמצים	Stress Regime
משיך	Extensible
משיכות	Ductility
משמעותי|משמעותיים	Significant
משני|שניוני	Secondary
משקל מרחבי	Bulk Density<BR>Unit Weight
משקל עצמי|משקלים עצמיים	Self Weight
משרד הבינוי והשיכון|משרד הבינוי|משרד השיכון	Ministry of Construction &amp; Housing - MOCH
משרד הכרייה האמריקאי	US Bureau of Mines
משרד התחבורה	Ministry of Transport - MOT
משתנה|משתנים	Variable<BR>Parameter
משתנה קלט|משתני קלט	Input Parameter
משתרע|משתרעים	Extending
מתאר|מיתאר	Contour
מתיחה	Tension
מתקן לייצור אספלט|מתקן ייצור אספלט	Asphalt Plant
מתקן קידוח|מתקני קידוח	Wagon Drill
מתקנים תת קרקעיים|מתקן תת קרקעי	Underground Facilities
נארי	Nari
נגרר|גרור|גרורים|נגררים	Trailer
נגרר נטוי|נגררים נטויים	Tilt Trailer
נובע	Resulting
נוהלי בטיחות|נוהל בטיחות|תהליכי בטיחות	Safety Procedures
נזק|נזקים	Damage
נזק מבני|נזקים מבניים	Structural Damage
נזק מקומי|נזק שאינו משפיע על הסביבה|נזקים מקומיים	Local Damage
נטוי|נטויים	Inclined
נטייה לצוף	Buoyancy
נטיית מישור הסידוק|נטיית המישור|נטיית מישור	Dip
ניהול איכות	Quality Management
ניהול פרויקט|ניהול פרויקטים	Project Management
ניטור|ניטורים	Monitoring
ניטור האיכות המבנית|ניטור איכות מבנית|ניטור מבנה בעזרת מדידים|ניטור מבנה על בסיס מדידים	Structural Health Monitoring - SHM
ניטור רעידות אדמה|ניטור רעידת אדמה	Earthquake Monitoring
ניכר|ניכרים	Significant
ניסוי אתר|ניסוי באתר|ניסויי אתר	Site Investigation
ניסוי בקיעה|ניסויי בקיעה	Splitting Test
ניסוי שדה|ניסוי בשדה	Field Investigation
ניסיון העמסה|ניסיונות העמסה	Load Test
ניסיון העמסה לעומס מלא|ניסיון העמסה בעומס מלא	Full Scale Load Test
ניסיון מעשי|פרקטיקה	Practice
ניסיון מעשי מקובל|פרקטיקה מצוייה	Common Practice
ניצב	Normal to<BR>Vertical
ניקוז|מערכת ניקוז|מערכת תיעול|תיעול	Drainage
ניקוי תקרת המנהרה|ניקוי תקרת מנהרה|סקיילינג	Scaling
נישת ניקוז|גומחאות ניקוז|גומחת ניקוז|נישות ניקוז	Drainage Niche
ניתוח|אנליזה|בדיקה	Analysis
נפה|נפות	Screen
נפה ויברציונית|נפה|נפות|נפות ויברציוניות	Vibrating Screen
נפולת התזה	Rebound
נפילה|נפילות	Fall<BR>Fall of Ground
נפילות חלקי סלע|נפילת חלקי סלע	Rock Falls
נפילות חלקי סלע מקומיות	Local Rock Falls
נפצים עם השהיות קצרות|נפץ עם השהיה קצרה|נפץ עם השהייה קצרה|נפצי השהיות קצרות	Short Delay Detonators
נציב|ניצב	Abutment
נציב הגשר	Bridge Pier<BR>Abutment
נציב לגשר|נציב	Pier
נקודות שאיבה|באר|בארות|נקודת שאיבה	Wellpoints
נקודת כניעה|גבול התחום האלסטי	Yield Point
נתזים|נתז	Pop Outs
נתיב|נתיב בכביש|נתיב כביש	Lane
נתיב תכן|נתיב התכן|נתיבי התכן|נתיבי תכן	Traffic Lane
נתיבי איילון	Ayalon Highways
סדוק	Cracked
סדוק במקצת|סדוק במידת מה	Blocky
סדק|סדקים	Joint<BR>Crack
סדק גזירה|סדקי גזירה	Shear Crack
סדק מתיחה|סדק שנוצר עקב מתיחה|סדקי מתיחה	Tension Crack
סדק סגור	Closed Joint
סדק עקב הצטמקות|סדק הצטמקות|סדקי הצטמקות|סדקים עקב הצטמקות	Shrinkage Crack
סדקי שערה|סדק שערה	Hairline Cracks
סובב	Surrounding
סומך	Consistency
סיבי פוליפרופילן	Polypropylene Fibers
סיבי פלדה	Steel Fibre
סיד	Lime
סידוק בעץ|סדקים בעץ	Checks
סידוק מוקדם	Pre Splitting
סידור הריווח	Arrangement of Spacing
סיום	Termination
סיכה	Lubrication
סיכון|סכנה	Hazard
סילוק	Disposal
סימוכין	Reference
סימני החלקה|החלקה	Slickenside
סכום כולל	Lump Sum
סכר|סכרים	Dam
סלע|מסלע|סלעים|קרקע קשה	Rock
סלע איתן|פורמציה איתנה|תצורה איתנה	Solid Formation
סלע באיכות סבירה|סלע סביר	Fair Rock
סלע בריא	Intact Rock
סלע גירי|גיר|סלע גיר	Limestone
סלע זוחל|סלעים זוחלים	Squeezing Rock
סלע יסוד|סלעי יסוד	Badrock
סלע ללא מישורי אי רציפות קרובים	Intact Rock
סלע מגמטי|מגמטי|סלע יסוד	Igneous Rock
סלע מותמר|סלע מטמורפי|סלעים מותמרים|סלעים מטמורפיים	Metamorphic Rock
סלע מעורער|סלעים מעורערים	Fractured Rock
סלע משקע|סלעי משקע	Sedimentary Rock
סלע נחות|סלעים נחותים	Inferior Rock
סלע שבור|סלע באיזור שבר|סלע הממוקם באיזור שבר|סלע מאיזור שבר	Faulted Rock
סלע תופח	Swelling Rock
סמך|סמכים	Restrain<BR>Support
סמך אלסטי|סמק קפיצי	Elastically Support
סמך חופשי|חופשי	Free Support
סמך נייד|נייד	Guided Support
סמך פרקי|סמך פירקי|סמכים פרקיים	Simple Support
סמך קבוע|קבוע	Hinged Support
סמך רתום|סמכים רתומים|רתום	Fixed Support<BR>Clamped Support
ספק|ספקים	Supplier
ספר הוראות בטיחות|מדריך בטיחות	Safety Manual
סקר|סקרים	Survey
סקר גיאו-הנדסי|סקר גיאו הנדסי	Geo Engineering Survey
סקר גיאוטכני|סקר גאוטכני|סקרים גאוטכניים|סקרים גיאוטכניים	Geotechnical Survey
סקר גיאולוגי|סקר גאולוגי|סקרים גאולוגיים|סקרים גיאולוגיים	Geological Survey
עבודות בטון יצוק באתר	Cast in-Situ Concrete Works
עבודות בנייה	Construction Works
עבודות עפר	Earth Works<BR>Earthworks
עבידות	Workability
עבר קונסולידציה	Consolidated
עגורן|עגורנים	Crane
עובד מיומן|עובדים מיומנים	Skilled Worker
עובי|עוביים	Thickness
עובי סדק|עובי הסדק	Crack Width
עוגן	Anchor
עוגן זמני|עוגנים זמניים	Temporary Anchor
עוגן מוט	Bar Anchor
עוגן מיתרים|עוגן|עוגן גדילים|עוגן כבלים	Multi Strand Anchor<BR>Strand Anchor
עוגן סלע|עוגני סלע	Rock Anchor
עוגן קבוע|עוגנים קבועים	Permanent Anchor
עוגן קרקע|עוגני קרקע	Tieback
עוגנים נושאים	Loadbearing Fixings
עודף חלופי|עודף	Redundant
עוות צמיג|עוות בצורת הצמיג|עוות הצמיג|עוות צורת הצמיג|עיוות בצורת הצמיג|עיוות הצמיג|עיוות צורת הצמיג|עיוות צמיג	Tire Flexing
עומס|עומסים	Load
עומס אקראי|עומסים אקראיים	Accidental Load<BR>Transient Load
עומס בפני הסלע|עומס פני הסלע|עומס פני סלע	Surface Load
עומס דינמי|עומס דינאמי|עומסים דינאמיים|עומסים דינמיים	Dynamic Load
עומס הנובע ממשקל עצמי|עומס משקל עצמי|עומס עצמי|עומסי משקל עצמי|עומסים עצמיים	Self Weight Load
עומס השכבות העליונות מעל המנהרה|עומסי השכבות העליונות מעל המנהרה	Overburden
עומס חוד סכין|עומס חוד-סכין	Knife Edge Load
עומס ייחוס|עומס יחוס	Datum Load
עומס מפורס|עומסים מפורסים	Distributed Load
עומס מפורס אחיד|עומס מפורס|עומסים מפורסים|עומסים מפורסים אחיד	Uniform Load
עומס מרוכז|עומסים מרוכזים	Concentrated Load
עומס משתנה|עומסים משתנים	Live Load<BR>Variable Load<BR>Imposed Load
עומס נתון|עומס מוגדר|עומסים מוגדרים|עומסים נתונים	Specified Load
עומס סרן	Axle Load
עומס צמד גלגלים|עומס גלגל|עומס גלגלים|עומסי גלגל|עומסי גלגלים	Wheel Load
עומס קבוע|עומסים קבועים	Dead Load<BR>Permanent Load
עומס קווי|עומסים קוויים	Line Load
עומס רוח|עומסי רוח	Wind Load
עומס שימושי|עומס משתנה|עומס נייד|עומסים משתנים|עומסים ניידים|עומסים שימושיים	Live Load
עומס שירות|עומס בעבודה|עומס בשירות|עומס בשרות|עומס עבודה|עומס שרות	Service Load<BR>Design Load<BR>Working Load
עומס תכן|כולל מקדמי בטחון|עומסי תכן	Factored Load
עומסי קרקע|עומס קרקע	Earth Loads
עומסים משתנים	Variable Loads
עומק	Depth
עטיפה	Casing
עיבור|עיבורים	Strain
עיגון	Anchorage
עיגון מכני	Mechanical Anchoring
עיוות|דפורמציה|שינוי צורה	Deformation<BR>Distortion
עלות אחזקה|עלויות אחזקה|עלויות תחזוקה|עלות תחזוקה	Maintenance Cost
עלות נחסכת	Avoided Cost
עלות קבועה|עלויות קבועות	Fixed Cost
עמוד|עמודים	Column
עמוד סלע|עמודי סלע	Pillar
עמידות באש	Fire Resistance
עמידות כימית	Chemical Resistance
עמיסה סטטית	Static Loading
עץ	Timber<BR>Wood
עץ אגוז|אגוז	Walnut
עץ אורן|אורן|אורנים	Pine
עץ אלון|אלון|אלונים	Oak
עץ ארז|ארז|ארזים	Cedar
עץ דובדבן|דובדבן	Cherry
עץ מהגוני|מהגוני	Mahogany
עץ מייפל|מייפל	Maple
עץ מנוסר|עץ|עצים מנוסרים	Lumber
עצר מים|עצרי מים	Waterstop
עקבה	Trace
עקומת שקיעה|עקומות שקיעה	Settlement Curve
ערבל מהיר קולואידי	High Speed Colloidal
ערך אופייני|ערך אופיני|ערכים אופייניים|ערכים אופיניים	Characteristic Value
ערך ממוצע|ממוצע|ממוצעים|ערכי ממוצע|ערכים ממוצעים	Mean Value<BR>Average
ערך מצוי|מצוי|ערכים מצויים	Common Value
ערכי חוזק	Strength Parameters
פוליאטילן בעל צפיפות גבוהה	High Density Polyethylene - HDPE
פורטל|חזית הכניסה|חזית הכניסה למנהרה|כניסה למנהרה|פורטלים	Portal
פח חיזוק|פח להקשחה|פח מקשיח|פחי חיזוק	Stiffener
פטיש	Hammer
פטיש שבירה הידראולי	High Energy Hydraulic Hammer
פיגום|פיגומים	Scaffolding
פילוג	Distribution
פיצוץ	Blast
פיצוץ המספק פני סלע חלקים|פיצוץ לפני סלע חלקים	Smmoth Blasting
פיצוץ חלק	Smooth Wall Blasting
פיצוץ מבוקר	Controlled Blasing
פיקוח	Supervision
פיר|פירים	Shaft
פיר אוורור|פיר איוורור|פירי אוורור|פירי איוורור	Ventilation Shaft
פיר דחיקה|פירי דחיקה	Jacking Shaft<BR>Thrust Pit
פיר מטפס	Raise Boring<BR>Raise Climbing
פיר שוקע	Shaft Sinking
פירוס	Distribution
פירוס כוח	Load Distribution
פיתול	Torsion
פלדה	Steel
פלדה חרושתית|פלדה מובאת	Fabricated Steel
פלדה מבנית	Structural Steel
פלדה עתירת חוזק|פלדה מיוחדת|פלדות מיוחדות|פלדות עתירות חוזק	High Strength Steel
פלטה|פלטות	Plate<BR>Slab
פלטות תימוך מקדים|פלטת תימוך מקדים	Poling Plates
פלטת דיפון|פלטות דיפון	Liner Plate
פלטת יסוד|פלטות יסוד	Foundation Slab
פן לחוץ|סיב לחוץ	Compressed Face
פני הקרקע|פני השטח|פני קרקע|פני שטח	Ground Surface
פנס ראש	Cap Lamp
פסיעה|פסיעות	Pitch<BR>Step
פעולת הקימור|קימור	Ground Arch
פצילות	Cleavage
פצלים	Shales
פקח|פקחים	Inspector
פרופיל הכרייה|חתך הכרייה|חתך כרייה|פרופיל המינהור|פרופיל המנהור|פרופיל כרייה|פרופיל מינהור|פרופיל מנהור	Excavated Profile
פרטי איטום|פרט איטום	Waterproofing Details
פריך	Brittle
פרץ סלע	Rockburst
פרק|פרקים|ציר|צירים	Hinge
פרק פלסטי|מפרק פלסטי|מפרקים פלסטיים|פרקים פלסטיים	Plastic Hinge
צביעה	Painting
צבע|צבעים	Paint
צבען|פיגמנט|פיגמנטים|צבענים	Pigment
צור	Chert
צורה	Pattern
ציוד לעבודות עפר|ציוד עבודות עפר	Earth Moving Equipment
ציוד לקידוח בהקשה|ציוד קידוח בהקשה|קידוח בהקשה	Percussion Drilling
ציוד לקידוח גלעין סיבובי	Rotary Core Drills
ציוד מנהור|ציוד המנהור|ציוד למנהור|ציוד מינהור	Tunneling Equipment
ציוד עבודות בינוי|ציוד בינוי	Building Equipment
צינור איסוף|צינורת איסוף	Collection Pipe
צינור בטון	Concrete Pipe
צינור דחיקה|צינור הדחיקה|צינור לדחיקה|צינורות דחיקה|צינורות לדחיקה	Driven Pipe<BR>Jacking Pipe
צינור לחץ	Penstock
צינור פלדה|צינור מפלדה|צינורות מפלדה|צינורות פלדה	Steel Pipe
צינור שרשורי|צינור פרפורציה|צינור פרפורצייה|צינורות פרפורציה|צינורות פרפורצייה|צינורות שרשוריים	Perforation Pipe
ציפוי|ציפויים	Coating<BR>Liner
ציפוי בטון|ציפוי בבטון|ציפוי הבטון	Concrete Liner
ציפוי פנימי|דיפון	Liner
ציר הסימטרייה|ציר הסימטריה	Center of Symmetry
צמנוט|צימנוט	Cementation
צמנט|מלט	Cement
צעד בזמן|פרק זמן|צעד	Length of Time
צרורות|חצץ	Gravels<BR>Gravel
צרורות חרסיתיים	Clayley Gravels
קאנט	Edge
קארסט	Karst
קארסטי	Karstic
קבוע	Fixed
קבוצת מוטות	Bundled Bars
קבוצת סידוק|קבוצת סדקים	Joint Set
קבלן|קבלנים	Contractor
קבלן משנה|קבלני משנה	Subcontractor
קדח|קדחים	Borehole
קדח ניקוז|חור ניקוז|חורי ניקוז|קדחי ניקוז	Drainage Hole
קדיחה במקדח פטיש|קדיחה עם מקדח פטיש|קידוח במקדח פטיש|קידוח עם מקדח פטיש	Down the Hole Hammer
קדיחה בסיבוב והקשה	Rotary Percussion
קדיחה ויברציונית תוך כדי דחיקת צנרת מגן	Vibratory Driven Casing
קדיחה סיבובית	Rotary Drilling
קדיחת גלעין|קדוח גלעין|קידוח גלעין	Core Drilling
קו הקשת|קו קשת	Spring Line
קו מרכז|קו מרכזי	Centerline
קו סריקה	Scan Line
קו צינורות|קווי צינורות|קוי צינורות	Pipeline
קואורדינטות|קואורדינטה|שנתה|שנתות	Coordinates
קוהזיה	Cohesion
קוטר|קטרים	Diameter
קוטר כרייה|קוטר החפירה|קוטר הכרייה|קוטר המינהור|קוטר המנהור|קוטר חפירה|קוטר מינהור|קוטר מנהור	Excavated Diameter
קוטר מוט|קוטר מוט הזיון|קוטר מוט זיון	Rod Diameter<BR>Bar Diameter
קוטר צינור|קוטר של הצינור|קוטר של צינור|קטרי צינור|קטרי צינורות|קטרים של צינורות	Pipe Diameter
קומה|קומות	Floor
קומפקטי	Compact
קומפקטי למחצה|קומפקטיים למחצה	Semi Compact
קונגלומרט|קונגלומראט	Conglomerate
קונזול|זיז	Cantilever
קונסולידציה	Consolidation
קונסטרוקטור|קונסטרוקטורים	Structural Engineer
