##name	Tunneling
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	theNoam
##copyright	<br>&copy; <a href="http://thenoam.com/">theNoam</a>
##description	English to Hebrew Dictionary for Geo-Engineering, Tunneling, Civil Engineering, Construction Works etc. 
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2005/09/04, 07:42
##bgl_middleUpdated	2012/05/23, 14:57
##bgl_lastUpdated	2012/05/23, 14:57
Abrasion	דיוס מדורג יורד
End Bearing Pile|End Bearing Piles|End-Bearing Pile|End-Bearing Piles	כלונס השואב את יכולתו לתמוך את המבנה ע"י העברת העומסים אל חומר היסוד בקרקע בעזרת קצהו התחתון
Engineer	מהנדס, מתכנן
Envelope	מעטפת
Equivalent	שקיל
Erection	הקמה
Erection Drawings|Erection Drawing	תכניות הקמה
Erosion	איכול
Erosion of Concrete	איכול הבטון
Escape Tunnel|Escape Tunnels	מנהרת מילוט, חילוץ והצלה
Estimation Methods|Estimation Method	שיטות להערכה, שיטות לקבלת אומדן
Evaluate|Evaluating	להעריך
Excavated Diameter	קוטר כרייה, קוטר כרייה מקסימלי
Excavated Profile	חתך הכרייה, פרופיל הכרייה
Excavated Region	אזור החציבה, אזור הכרייה, אזור החפירה
Excavating Cycle	מחזור התקדמות, מחזור הנמדד כזמן העובר בין פעולת כרייה לבאה אחריה לאחר סיום פעולות כגון תימוך וקידום מערכות עזר
Excavation|Excavations	חפירה, חציבה
Excavation Stages|Excavation Stage	שלבי כרייה והתקדמות (לדוגמא: מנהרת חלוץ, הרחבה והעמקות)
Excavation Support Ratio|ESR	מנת התימוך בכרייה, מקדם ביטחון לפי שיטת ברטון (Barton) המגדיר את סוג המנהרה (מכרה זמני וקבוע, פיר בחתך עגול או מלבני, חדרי אחסון, תחנות כוח, מנהרות לתעבורה וכו'...)
Excavation by Steps	כרייה / חציבה / חפירה בשלבים. בדרך כלל נועדה לצורך תימוך מיד לאחר כל שלב ושחרור מאמצים
Excavator|Excavators	מחפר
Execution	ביצוע
Execution Planning	תכנון לביצוע
Execution Stage	שלב הביצוע
Expansion Joint|Expansion Joints	תפר התפשטות
Expansion Shell	ראש מתפשק (מכני)
Extending	משתרע
Extensible	משיך
Extensible Reinforcement	זיון משיך
Extensometer	מד תזוזה
Extrusion	שיטה לעיבוד חומר שבו החומר מאולץ ע"י דחיסתו דרך נחיר צורני
FIDIC	טופס מיון מוקדם, טופס המכיל פרטים על קבלן או גוף קבלני כגון מבנה הארגון, משאבים, ניסיון ועוד...
Fabricated Steel	פלדה מובאת, אלמנט פלדה העשוי מרכיבים שחוברו יחדיו בתנאים טובים כגון בית חרושת יעודי
Face|Front Face	חזית, חזית הכרייה
Face Stability	יציבות חזית הכרייה
Factor	מקדם
Factor of Safety|FS|Factors of Safety	מקדם ביטחון
Factored Load	עומס תכן, כולל מקדמי ביטחון
Failure	כשל, אי-ביצוע
Failure Criterion	קריטריון הכשל
Failure Envelope	מעטפת הכשל
Fair Quality|"Fair Quality"|"Fair"|"Fair" Quality	איכות סבירה, מאפיין למיון איכות הסלע
Fair Rock|Fair	סלע באיכות סבירה
Fall|Falls	נפילה, שכבת קרקע או סלע שנפלו מתקרת המנהרה או מקירות המנהרה ללא פגיעה ממשית ביציבותה
Fall of Ground	נפילה, גוש של קרקע הנופל ואינו מלווה בשינוי ניכר של קו החציבה, בניגוד למפולת
Fan|Fans	מפוח, מפוח אוורור
Fast Raveling|Fast-Raveling	קרקע המתפוררת במהירות, שזמן העמידה העצמי שלה קטן משש שעות
Fatigue	התעייפות
Fault|Faults	שבר.<BR>סדק שלאורכו מתקיימת העתקה של צד אחד כלפי הצד השני המקביל. אי רציפות בסלע
Fault Crossing	מעבר שבר, מעבר דרך אזור שבר
Faulted Rock	סלע שבור, סלע הממוקם באיזור שבר
Faulted Zone	איזור שבר
Feasibility	התכנות, בדיקת התכנות לפרויקט
Federal Emergency Management Administration - FEMA|FEMA|Federal Emergency Management Administration	הסוכנות האמריקאית הפדרלית לטיפול במצבי חירום
Fiberglass Rock Bolt|Fiberglass Bolt|Fiberglass Bolts|Fiberglass Rock Bolts	בורג סלע מפיברגלס - סיבי זכוכית
Field Experiment|Field Experiments	ניסוי בשדה, בדיקה באתר
Field Investigation	ניסוי בשדה, בדיקה באתר
Fill-Up Level|Fill Up Level	מפלס מילוי
Fillet Weld	רתך מילאת
Filling|Fill	מילוי
Filling Process	תהליך המילוי, שיטת המילוי
Filter|Filters	מסנן, פילטר
Final Lining	תימוך סופי, תימוך משלים במנהרות בדרך כלל מבטון יצוק או טרום, תימוך זה מתווסף לתימוך הראשוני
Final Support	תימוך סופי, תימוך משלים במנהרות בדרך כלל מבטון יצוק או טרום, תימוך זה מתווסף לתימוך הראשוני
Financing	מימון
Financing Plan	תכנית מימון
Finish	גימור
Finisher|Finishers	מכונה לפיזור אספלט
Finite Elements Method|FE|FEM|Finite Elements	שיטת "האלמנטים הסופיים", שיטה לאנליזה במחשב ע"י חלוקת המודל לאלמנטים קטנים והכנסת הפרמטרים והקשרים שבינהם
Fire Protection	הגנה מפני אש
Fire Resistance	עמידות באש
Fire Resistant	חסין אש
Fire Resistant Door	דלת חסינת אש
Fissure	סדק נימי
Fissure Grouting	דיוס סדקים בסלע
Fixed	רתום
Fixed Cost|Fixed Costs	עלות קבועה
Fixed Price|Fixed Prices	מחיר קבוע
Fixed Support|Fixed	סמך רתום
Flange	אגף של קורה
Flat Slab	תקרה שטוחה
Flexible Pavement|Flexible Pavements	מיסעה גמישה
Flexural Buckling	קריסה בכפיפה
Flexural Reinforcement	זיון לכפיפה
Flexural Strength	חוזק לכפיפה, חוזק כנגד כפיפה
Flooding	הצפה
Floor|Floors	רצפה, קומה
Floor Heave	התרוממות רצפת המנהרה, תזוזה כלפי מעלה של הרצפה
Flow Meter|Flow Meters	מד זרימה
Flowing Ground	קרקע זורמת, תערובת של קרקע ומים הזורמת לתוך החפירה כנוזל צמיג
Fly Ash	אפר פחם
Footing|Footings	יסוד
Force|Forces	כוח
Forepoles	אלמנטי התימוך המקדים כגון צינורות פלדה, פרופילי פלדה, ברגי סלע וכו'
Forepoling|Umbrella	תימוך מקדים, התימוך המקדים נועד לפתור בעיה קריטית של מעבר בקרקע שפיכה או בסלע החסר כושר נשיאה כך שאין מספיק זמן להתקנת התימוך לאחר החפירה או החציבה וחיוני להתקין את התימוך לפני שלב החפירה. במקרה זה התימוך מקדים את החפירה ומכאן שם השיטה
Fork Lift|Fork Lifts	מלגזה
Formation	תצורה
Formwork|Form|Forms	טפסות
Forward Bulkhead	מחיצה קדמית ב- EPBM מכונת מנהור עם איזון לחץ עפר
Fossil Water	מים שנשארו בסלע מזמן שקיעתו והווצרותו
Foundation Slab	פלטת יסוד
Foundations|Foundation	ביסוס, יסודות
Fracture|Fractures	שבר, שבר מלאכותי
Fractured Rock|Fractured Rocks	סלע 'מעורער', סידוק מלאכותי בזמן תהליך המנהור (קידוח ופיצוץ או שחרור מאמצים)
Fragments|Fragment	רסיסים
Free Length	אורך חופשי, מונח מתחום העוגנים המתאר את האורך שאינו בא במגע עם העוגן בזמן הדריכה
Free Support|Free	סמך חופשי
Freezing	הקפאה
Fresh Concrete	בטון טרי
Friction Pile|Friction Piles	כלונס חיכוך
Frictional Fill	מילוי גרנולרי
Front End Loader Tractor|Front End Loader|Front End Loader Tractors|Front End Loaders	טרקטור יעה קדמי
Full Breasting	מכונת מנהור עם מיגון חזיתי מלא.<BR>מתאימה לעבודה בקרקע רטובה, בלתי יציבה, אשר אינה נושאת את עצמה
Full Face	חזית בחתך מלא
Full Face Tunnel Boring Machine|Full Face Shield|Full Face TBM	מכונת מנהור בחתך מלא, ראש חיתוך בקוטר המנהרה הסובב במעגל שלם
Full Face Tunneling Machine|Full Face Tunneler|Full Face Tunneling Machines|Full Face Tunneller|Full Face Tunnelling Machine|Full Face Tunnelling Machines|Full Facer	מכונת מנהור בחתך מלא
Full Scale Load Test|Full Scale Load Tests	ניסיון העמסה לעומס מלא
Gable	גמלון
Galvanization	גילוון
Geo-Engineering|Geo Engineering	הנדסת קרקע
Geo-Engineering Survey|Geo-Engineering Surveys|Geoengineering Survey|Geoengineering Surveys	סקר גיאו-הנדסי
Geogrid	גיאוגריד, רשת גיאוטכנית
Geological Strength Index|GSI	מקדם איכות הסלע על פי שיטת המיון של Hoek-Brown
Geological Survey|Geological Surveys	סקר גיאולוגי
Geological Unit|Geological Units	יחידה גיאולוגית
Geologist	גיאולוג
Geology	גיאולוגיה, חקר הקרקע
Geomechanical Properties	תכונות גיאומכניות
Geophysics	גיאופיזיקה, חקר הקרקע על בסיס עקרונות הפיזיקה
Geotechnical	גאוטכני
Geotechnical Instrumentation	מכשור גיאוטכני, מערכת מדידה לדפורמציות
Geotechnical Survey|Geotechnical Surveys	סקר גיאוטכני
Geotextile|Geotextiles	גיאוטקסטיל, יריעה גאוטכנית המשמשת להחזקת קרקע מחד וכאמצעי ניקוז מאידך. היריעה עשויה מסיבים סינטטייים ארוגים
Geoweb	בד גיאוטכני
Gilon Tunnel	מנהרת גילון.<br>מנהרה כפולה באורך 4.5 ק"מ בקו הרכבת בין עכו לכרמיאל
Girders|Girder	מסבכונים, מסבכוני פלדה המיועדים לתימוך המנהרה כחלופה לפרופילי פלדה
Gneiss	גנייס
Good Quality|"Good Quality"|"Good"|"Good" Quality	איכות טובה, מאפיין למיון איכות הסלע
Gouge	חרסית ההעתק.<BR>חומר דק, בלתי חדיר, הדומה לחרסית וממלא לרוב את סדקי ההעתק
Grade	דירוג, סיווג
Grade Resistance	התנגדות שיפועית.<BR>מונח המתאר את ההתנגדות של שפוע בקרקע המקשה על תנועתם של כלים הנדסיים
Grading Quality|Grading	דירוג
Granite	גרניט
Granular|Granulars	גרגרי, גרעיני, בעל גרגירים
Granular Soil|Granular Soils	קרקע גרנולרית, קרקע גרגרית ללא קוהזיה (כוחות קשירה), קרקע נטולת עמידה עצמית שנערמת בערמה עם זוית שפיכה טבעית כדוגמת חול וצרורות
Graphical Representation	ייצוג גרפי, תרשים
Gravel	חצץ, תערובת של אבנים קטנות ו/או חלוקים, צרורות
Gravels	צרורות
Gravity Wall|Gravity Walls	קיר כובד, קיר תמך על בסיס משקל עצמי
Ground	קרקע, עפר ו/או סלע
Ground Arch	פעולת הקימור
Ground Level	גובה פני הקרקע
Ground Penetrating Radar|GPR	רדאר חודר קרקע GPR<BR>שיטה גאופיסית לבדיקת קרקע רדודה לצורך אפיון מצב וכיוון שכבות, מי תהום, אנומליה (כגון קארסט). השיטה מאפשרת תצוגה דיגיטלית בזמן אמיתי אך מוגבלת לעומקים רדודים, ובעייתית בכל הנוגע להפרעות עקב החזרות גלים ובחלק מהקרקעות החרסיתיות
Ground Surface	פני הקרקע, פני השטח
Ground Water|Groundwater	מי תהום
Ground Water Table|Groundwater Table|Water Table	מפלס מי תהום
Grout	דייס
Groutable	מדוייס
Grouting	דיוס
Grouting in Ascending Stages	דיוס מדורג עולה
Grouting in Descending Stages	דיוס מדורג יורד
Guidance System	מערכת הכוונה וניהוג, מותקנת בראש הקידוח בשיטת דחיקת הצינורות
Guided Support|Guided	סמך נייד
Gunite	בטון מותז מבטון דק-גרגר, מלט מותז
Hairline Cracks|Hairline Crack	סדקי שערה
Half Dome	מחצית כיפה, מונח של טרצגי המתאר את צורת פרוס המאמצים בקרקע בסמוך לחזית הכרייה עד מעבר לפעולת קמור מלאה
Hammer	פטיש
Hand Excavation	חפירה בידיים, ביצוע חפירה עדינה
Handbook	מדריך
Hard Clay	חרסית קשה
Hard Strip	שוליים לדרך
Hardened Concrete	בטון קשוי
Hardening	התקשות
Hardness Tests|Hardness Test	בדיקות קשיות (לשחיקה בגרוד או סריטה, לחדירה סטטית, להקשה דינמית)
Hay	חציר, משמש כריפוד בין דפנות החלל הכרוי לסגמנטי הדיפון
Hazard|Hazards	סיכון, סכנה
Headgear	מגדל השינוע, מגדל הקידוח מעל הפיר
Heave|Heaving	התרוממות, תזוזה של קרקע כלפי מעלה
Height	גובה
Height of Cover	גובה הכיסוי מעל המנהרה
Helmet	כובע מגן, קסדה
Heterogeneous	הטרוגני, לא אחיד
High Density Polyethylene - HDPE|HDPE|High Density Polyethylene	פוליאטילן בעל צפיפות גבוהה
High Energy Hydraulic Hammer|HEHH	פטיש שבירה הידראולי
High Speed Colloidal	ערבל מהיר קולואידי
High Strength Steel	פלדה עתירת חוזק
Highly Weathered	בלוי מאוד, בדרך כלל מעיד על שחיקה רבה שעבר סלע
Highway	דרך, כביש ראשי
Hinge|Hinges	פרק, ציר
Hinged Support|Hinged	סמך קבוע
Hoek Brown Classification|Hoek-Brown Classification	מיון סלע בשיטת הק-בראון
Hoek-Brown Criterion|Hoek Brown|Hoek Brown Criterion|Hoek-Brown	קריטריון הק-בראון.<BR>קריטריון אמפירי המציג את חוזק הסלע במונחים של מאמצים עיקריים ומישניים ראשיים
Hollow Area	חלל בפני הבטון, חלל אשר במכת פטיש משמיע קולות חלולים, בדרך כלל מעיד על בטון מתפצל
Hollow Groutable Re Bar|Hollow Groutable Re-Bar|Hollow Groutable ReBar	בורג חלול לעיגון ע"י דייס צמנטי
Homogeneous	הומוגני, אחיד
Honeycomb	קיני חצץ, אזורים שלא מולאו בבטון כהלכה בזמן היציקה. מראה האגרגטים החשופים דומה לחלת דבש
Hook	אוזן של מוט זיון, הקטע המכופף במוט זיון לצורך עיגונו. זוית הכיפוף גדולה מ- 90 מעלות וקטנה מלולאה שלמה
Hook Bar	מוט בצורת קרס
Horizontal	אופקי
Horizontal Boring	קדוח אופקי
Horizontal Stress|Horizontal Stresses	מאמץ אופקי
Horseshoe	פרסה
Horseshoe Shaped Section	חתך דמוי פרסה
Human Control	בשליטה אנושית, בבקרת אדם
Humidity	לחות
Hydraulic Hammer	פטיש הידראולי
Hydroshield	אטם המאפשר למכונת מנהור בחתך מלא לעבוד בחזית בלחץ המתאים ללחצי הקרקע (כולל לחצי מים) ובירכתיים בלחץ אטמוספרי רגיל
Hydrostatic Pressure	לחץ הידרוסטטי
Hypothesis|Hypotheses	היפותיזה, הסבר טנטטיבי על מידע ידוע שאמור לאחר ניסוי ו/או תצפית עתידיים לקבל תוקף
Igneous Rock|Igneous	סלע יסוד, סלע מגמטי
Impact	הולם, השפעה
Impermeability	אטימות, אי חדירות
Imposed Loads|Imposed Load	עומסים משתנים
In situ|In-situ	באתר
Inclined	נטוי
Inclined Strata	מבנה שכבות נוטה (נטוי)
Indentation	בדיקת חדירה לצורך בדיקת קשיות של סלע
Indented Bar	מוט מצולק
Inferior Rock	סלע נחות
Infilling	חומר מילוי, חומר הממלא אי רציפות והעלול להיות חלש יותר מהסלע המקורי, כדוגמת חרסית, טין, חול, ברקציה; קיימים חומרי מילוי על בסיס ציפוי מינרלוגי דק כגון עורקי קוורץ או קלציט
Inner Circular Cage	כלוב זיון פנימי עגול, כלוב הזיון הפנימי בצינור עגול
Inner Reinforcement	זיון בסיב פנימי, זיון בסיב הרכיב הפונה לכיוון פנים המבנה
Input Parameter|Input Parameters	משתנה קלט
Inrush of Water	זרימת מים לתוך המנהרה
Inspector	מפקח, פקח
Installation Instruction	הוראות התקנה, הנחיות התקנה
Intact Rock|Intact	1. סלע 'בריא'<BR>2. סלע ללא מישורי אי רציפות קרובים
Intact Uniaxial Compressive Strength	חוזק לחיצה חד-צירי של סלע בריא (ערך גבוה מחוזק לחיצה חד-צירי של מסת הסלע)
Interface	ממשק, גבול משותף לשני חומרים
Intermediate	מרכזי, ביניים
Intermediate Jacking Pipe|Interjack Pipe	צינור הפלדה העוטף את תחנת הביניים - תחנת הדחיקה המשנית
Intermediate Jacking Station|IJS|Immediate Jacking Station|Interjack Station|Intermediate Jacking Stations|Jacking Station	תחנת ביניים, תחנת ג'קים משנית לדחיקת צינורות
Internal Angle of Friction|Fi|Friction Angle	זוית החיכוך הפנימית, פי
International Organization for Standardization - ISO|ISO|International Organization for Standardization	אירגון תקינה בינלאומי
Intolerable	בלתי נסבל, מונח המשמש לרמת רעש בלתי נסבלת
Invert	המפלס התחתון במנהרה, הקטע אותו חופרים לצורך העמקת החתך למצב הסופי
Invert Level|IL	המפלס התחתון
Investigation|Investigations	חקירה
Isolation Joint|Isolation Joints	תפר הפרדה
Israel National Roads Company|INRC	החברה הלאומית לדרכים בישראל, מע"צ החדשה<BR><HR>http://www.iroads.co.il
Israel Railways	רכבת ישראל<BR><HR>http://www.israrail.org.il
Istraeli Standard|SI	תקן ישראלי, תקן בהוצאת מכון התקנים הישראלי, מת"י.
Iteration	איטרציה, חזרה, הישנות פעולת חישוב בשיטה נומרית או בשיטה של ניסוי וטעייה
Ja - Joint Alteration Number|Ja|Joint Alteration Number	מקדם בליית הסדק, אחד הפרמטרים בשיטת המיון של ברטון
Jacking Force	הכוח הפועל על הצינורות בזמן הדחיקה
Jacking Pipe|Jacking Pipes	צינור דחיקה, צינור המתוכנן לעמוד בכוחות של תהליך הדחיקה
Jacking Shaft	פיר דחיקה
Jet Grouting	דיוס סילוני
Jetting Wells	שיטה לביצוע בארות על בסיס נוזלים כגון מים, בוץ וכו'... המותזים אל תוך הקרקע הרכה כסילון
Jn - Joint Set Number|Jn|Joint Set Number	מקדם קבוצת הסדקים, אחד הפרמטרים בשיטת המיון של ברטון
Job Site	אתר
Joint|Joints	קרקע: סדק, אי רציפות בסלע<BR>קונסטרוקציה: מחבר, תפר
Joint Set	קבוצת סידוק, סדקים בעלי כיוון דומה
Joint Spall	קילוף לאורך סדק, קילוף הבטון מתרחש כגומה לאורך תפר התפשטות, תפר התכווצות או תפר יציקה
Joint System	מערכת סידוק, מספר קבוצות סידוק
Jr - Joint Roughness Number|Joint Roughness Number|Jr	מקדם חספוס הסדק, אחד הפרמטרים בשיטת המיון של ברטון
Jumbo	מקדח, מכונת קידוח
Juvenile Water	מים ממקור יובנילי (מגמטי). מים שמקורם במגמה הנמצאת בעומק קרום כדור הארץ. מי מעיינות חמים ומינרליים
Jw - Joint Water Reduction|Joint Water Reduction|Jw	מקדם ההחלשה עקב המים בסדקים, אחד המקדמים בשיטת המיון של ברטון
Karst	קארסט, קרקע סלעית המאופיינת בתצורה יחודית של מערות בגדלים שונים של ס"מ ספורים עד מטרים רבים. התופעה נובעת ממסיסות של סלעים, בעיקר סלעי גיר, במים
Karst Phenomena	תופעת קארסט
Karstic	קארסטי, קרקע סלעית המאופיינת בתצורה יחודית של מערות בגדלים שונים של ס"מ ספורים עד מטרים רבים. התופעה נובעת ממסיסות של סלעים, בעיקר סלעי גיר, במים
Key Role	תפקיד מפתח
Keystoning Effect	תפיסת גושים בודדים לסלע 'בריא'
Knife Edge Load|Knife Edge Loads	עומס חוד-סכין
Kurkar	כורכר
L Section	חתך בצורת האות ריש
Lane|Lanes	נתיב בכביש
Lateral Torsional Buckling	קריסה צירית
Lattice Girder|Lattice Girders	קורת מסבך, קורת שבכה
Layer of Reinforcement|Layers of Reinforcement	שכבת זיון
Layout	תכנית, שרטוט, מערך
Leakage	דליפה, נזילה
Lean Concrete	בטון רזה
Length of Core	אורך גלעין
Length of Time	פרק זמן, צעד בזמן
Level|Levels	מפלס, רום<BR>מאוזן, אופקי
Lever Arm	זרוע פנימית
Lift Force|Lift Forces	כוח עילוי
Lifta Tunnel	מנהרת ליפתא.<br>מנהרת רכבת המובילה לתחנת האומה בירושלים
Lifting System|Lifting Systems	מערכת הרמה
Light Rail Transit - LRT|LRT|Light Rail|Light Rail Transit	רכבת קלה
Lime	סיד
Limestone	גיר, סלע גירי
Limestone with Marl Interbeds	גיר עם רובדי חוואר
Limit State	מצב גבולי
Limy Chalk	קרטון גירי
Limy Dolomite	דולומיט גירי, סלע דולומיט גירי
Line Load	עומס קווי
Liner	ציפוי פנימי, הציפוי הפנימי של המנהרה בדרך כלל בטון יצוק
Liner Foundation	יסוד הדיפון
Liner Plate|Liner Plates	פלטת דיפון, סגמנט קשתי בדרך כלל, המחובר לסגמנטים נוספים הסוגרים טבעת דיפון, או במקרים אחרים קשת דיפון
Liner Thickness	עובי דיפון
Lining	דיפון, ציפוי פנימי למנהרה. בדרך כלל הכוונה לבטון יצוק
Liquidity Limit|Liquid Limit	גבול הנזילות
Live Load|Live Loads	עומס משתנה, עומס שימושי, עומס נייד
Load|Loads	עומס, להעמיס
Load Combination	שילוב עומסים
Load Distribution	פירוס כוח
Load Effects|Load Effect	הטרחה
Load Envelope	מעטפת כוחות
Load Haul Dump - LHD|LHD|Load Haul Dump|Load-Haul-Dump	מכונה להרמה ולהעמסה
Load Removal	הסרת עומס
Load Test	ניסיון העמסה
Load Transfer Block	משטח דריכה, משטח הניצב לציר העוגן שכנגדו דורכים את העוגן
Loadbearing Fixings	עוגנים נושאים
Loader	יעה, טרקטור מעמיס.<BR>משמש להטענת והעברת עפר ושברי סלע, הטענת משאיות, חפירה בקרקע וכו'...
Loading	העמסה
Local Damage|Local Damages	נזק מקומי, נזק שאינו משפיע על סביבתו
Local Rock Falls|Local Rock Fall	נפילות חלקי סלע מקומיות
Loess	לס, אדמת לס
Long Term	טווח ארוך
Longitudinal Overlap	חפיפה אורכית
Longitudinal View	מבט אורכי
Loose Sand	חול תחוח
Lower Beam	קורה תחתונה
Lubrication	סיכה, החדרת חומר משמן כגון בנטונייט בין צינורות הבטון לקרקע בזמן דחיקת הצינורות להקטנת החיכוך
Lumber	עץ מנוסר
Lump Sum	סכום כולל, סעיפים מכתב כמויות או חוזה שלם עם סכום הכולל מספר רב של עבודות
Mahogany	עץ מהגוני
Maintenance	תחזוקה
Maintenance Cost|Maintenance Costs	עלות אחזקה
Major Principal Stress	מאמץ ראשי עיקרי
Manhole	שוחת ביקורת
Maple	עץ מייפל
Marble	שיש
Margin of Safety	שולי בטיחות
Marl|Marls	חוואר
Marly Chalk	קירטון חווארי
Marsh Hay	חציר שמקורו בביצה, החציר המועדף לשמש כריפוד בין דפנות החלל הכרוי לסגמנטי הדיפון
Masonry	בני, בנוי מבלוקים או לבנים
Masonry Structure	מבנה בני, מבנה הבנוי מבלוקים או לבנים
Masonry Wall	קיר בני, קיר הבנוי מבלוקים או לבנים
Mass Transit System|Mass Transit	מערך הסעת המונים
Massive	מסיבי, תיאור לסלע צפוף
Material Properties|Material Property	מאפייני החומר, פרמטרים פיזיקליים המאפיינים חומר
Mean Value|Mean|Mean Values	ערך ממוצע
Mechanical Anchoring	עיגון מכני
Mechanical Excavation	חפירה או כרייה ממוכנת
Mechanical Hammer	פטיש מכני
Mechanical Properties	תכונות מכניות
Mechanism	מכניזם, מנגנון התפקוד
Mega Pascal|MPa|MegaPascal	מגה-פסקל, מגפ"ס
Mesh|Meshes	רשת, רשת זיון
Metamorphic Rock|Metamorphic	סלע מותמר, סלע מטמורפי, סלע יסוד או משקע שעבר תהליך התמרה - תהליך שינוי כימי ו/או מינרלוגי עקב תנאים סביבתיים קיצוניים
Meteoric Water	מים ממקור מטאורי - מי גשם ושלג
Method	שיטה
Method Statement	שיטת הביצוע, בדרך כלל מדובר במסמך שמגיש קבלן בנוגע לשיטת הביצוע והציוד שהוא מתכנן להשתמש בפרויקט מסוים
Methodology	מטודולוגיה, דרך פעולה שיטתית
Micro Tunneling|Micro Tunnelling|Microtunneling|Microtunnelling	מיקרו מנהור, מנהור מונחה עצמי
Milestone|Milestones	אבן דרך
Mineral Lightweight Aggregate	אגרגאט מינרלי קל
Mining	כרייה, חציבה במכרות ובמנהרות
Ministry of Construction & Housing|MOCH|Ministry of Construction|Ministry of Construction and Housing|Ministry of Housing	משרד הבינוי והשיכון<BR><HR>http://www.moch.gov.il
Ministry of Transport|MOT	משרד התחבורה<BR><HR>http://www.mot.gov.il
Minor Principal Stress	מאמץ ראשי משני
Mixed Face	חזית מעורבת, חזית כרייה המכילה שתי קרקעות ויותר
Mixed Face Tunneling	מנהור בחזית מעורבת
Moderately Jointed Rock|Moderated Jointed Rock	מבנה סלע סדוק בינוני
Modulus of Deformation	מודול יאנג, מודול האלסטיות
Mohr Circle	תצוגה גרפית של המאמצים הפועלים על מישורים שונים בנקודה מסוימת בקרקע
Mohr Coulomb Criterion|Mohr Coulomb|Mohr-Coulomb|Mohr-Coulomb Criterion	קריטריון הכשל של מוהר קולומב.<BR>קריטריון זה מתאר את הקשר הלינארי בין מאמץ נורמלי למאמץ גזירה, או מאמץ מקסימלי ומינימלי, בכשל
Mole	מכונת מנהור בחתך מלא
Moment Redistribution|Redistribution	חלוקה מחדש של מומנטים.<BR>שינוי מבוקר ומוגבל בערכי המומנטים שנקבעו באנליזה אלסטית - שינוי המסתמך על התכונות הפלסטיות של החומרים
Moment of Inertia|I	מומנט אינרציה, מומנט התמדה, שטח החתך כפול הזרוע בריבוע
Moment of Resistance	מומנט התנגדות, מומנט התנגדות החתך הינו שטח החתך כפול הזרוע
Monitoring	ניטור
Mortar	מלט
Motor Grader|Motor Graders	מפלסת, מפלס ממונע
Motor Scraper|Motor Scrapers	מגרדה ממונעת
Moveable Form	תבנית נעה (ליציקת הבטון במנהרה)
Mud	בוץ, בוץ לתימוך חפירות כגון בנטונייט
Mudballs|Mudball	חורים קטנים הנוצרים עקב תהליך המסה או הפרדות של כדורי חרסית או חלקיקים רכיב של צפחה
Mudstone	אבן בוץ
Multi Stage|Multi-Stage	רב שלבי
Multi Strand Anchor|Strand|Strand Anchor|Strands	עוגן, המורכב ממיתרים, עשוי מכבלי / גדילי פלדה
Multi-Storey Building|Multi Storey Building|Multi Storey Buildings|Multi-Storey Buildings	מבנה רב-קומות
Multi-Story Building|Multi Story Building|Multi Story Buildings|Multi-Story Buildings	מבנה רב-קומות, גורד שחקים
Multipoint Borehole Extensometers|MPBX|Multipoint Borehole Extensometer	מדי תזוזוה רב-נקודתיים
Nail	מסמר
Nari	נארי. קרום המכסה סלעי גיר. בדרך כלל בשכבות של מטר עד שניים אך יכול להגיע גם לעובי של 4 מטר.<BR>לפעמים נוצרות מערות באזור המגע בין הנארי והסלע
Natural Arch	קמרון טבעי
Negative Projecting Conduit	צינור הנטמן בקרקע סוללה כך שהראש שלו ממוקם תחת המפלס הטבעי של הקרקע
New Austrian Tunneling Method|NATM|New Austrian Tunnelling Method	שיטת המנהור האוסטרית החדשה
Non Dimensional|Non-Dimensional	לא ממדי, הכוונה לרוב ליחס בין פרמטר ממדי עם פרמטר בעל אותו ממד
Non Structural Element|Non Structural Elements	רכיב לא מבני, חלק ממערך הגמר של המבנה הכולל בתוכו ריצוף, מחיצות וכו'
Non-Destructive|Non Destructive	לא הורס, השימוש במושג זה קיים בעיקר עבור בדיקות לא הורסות
Normal Stress	מאמץ נורמלי, מאמץ הפועל בניצב
Normal to|At Right Angle	ניצב
Norwegian Tunneling Method - NTM|NTM|Norwegian Tunneling Method|Norwegian Tunnelling Method	שיטת המנהור הנורבגית
Notional Lane	נתיב תכן
Numerical Simulation	הדמיה (סימולציה) נומרית, בדרך כלל מדובר ברשת דו או תלת ממדית המדמה מבנה בתוך או בסמוך לקרקע
Oak	עץ אלון
Observation|Observations	תצפית, מעקב, הערה
Observational Method of Design|Design as you go|Observational Method	תכנון תוך כדי ביצוע
On-Site Geology|On Site Geology	ממצאי הגאולוגיה באתר, בדרך כלל הכוונה לגאולוגיה שמתגלה תוך כדי עבודה
Open Cut	חפירה פתוחה
Open Face Wheel Type	מכונת מנהור בחתך מלא מטיפוס "גלגל בעל זרועות".<BR>מיועדת לקרקע רכה (חרסית, עפר וחול מעורב באבנים קטנות וכו'...)
